user_id,item_id,rating
U298,Navy Blue Hoodie,1
U653,Red Cotton T-Shirt,3
U37,Blue Denim Jeans,4
U356,Black Polo Shirt,2
U871,Navy Blue Hoodie,4
U195,Pink Silk Scarf,5
U147,Lightweight Running Jacket,4
U27,Lightweight Running Jacket,5
U277,Leather Baseball Cap,5
U54,Lightweight Running Jacket,4
U884,Pink Silk Scarf,3
U436,Leather Baseball Cap,5
U136,Pink Silk Scarf,2
U66,Black Polo Shirt,1
U599,Leather Baseball Cap,2
U440,Striped Casual Shirt,2
U365,Black Polo Shirt,3
U892,Pink Silk Scarf,3
U54,Leather Baseball Cap,3
U28,Grey Wool Sweater,3
U125,Red Cotton T-Shirt,5
U912,Khaki Cargo Shorts,3
U618,Lightweight Running Jacket,5
U461,Red Cotton T-Shirt,5
U853,Floral Summer Dress,4
U668,Leather Baseball Cap,3
U312,Pink Silk Scarf,5
U960,Black Polo Shirt,5
U533,Leather Baseball Cap,5
U626,Khaki Cargo Shorts,1
U938,Blue Denim Jeans,3
U816,Grey Wool Sweater,3
U684,Khaki Cargo Shorts,4
U211,Grey Wool Sweater,5
U390,Blue Denim Jeans,5
U15,Leather Baseball Cap,5
U637,Pink Silk Scarf,2
U443,Pink Silk Scarf,5
U925,Khaki Cargo Shorts,2
U458,Leather Baseball Cap,2
U477,Striped Casual Shirt,1
U167,Red Cotton T-Shirt,5
U39,Striped Casual Shirt,2
U545,Blue Denim Jeans,4
U805,Striped Casual Shirt,3
U658,Red Cotton T-Shirt,1
U910,Grey Wool Sweater,3
U639,Striped Casual Shirt,5
U276,Pink Silk Scarf,5
U14,Grey Wool Sweater,5
U161,Lightweight Running Jacket,5
U155,Navy Blue Hoodie,3
U133,Blue Denim Jeans,2
U564,Khaki Cargo Shorts,3
U528,Floral Summer Dress,2
U777,Black Polo Shirt,5
U552,Floral Summer Dress,5
U656,Black Polo Shirt,3
U180,White Canvas Sneakers,3
U807,Lightweight Running Jacket,2
U698,White Canvas Sneakers,2
U338,Red Cotton T-Shirt,3
U947,Striped Casual Shirt,1
U773,Floral Summer Dress,2
U291,White Canvas Sneakers,4
U524,Leather Baseball Cap,3
U544,Grey Wool Sweater,1
U521,Navy Blue Hoodie,1
U242,Grey Wool Sweater,1
U74,Pink Silk Scarf,4
U553,Navy Blue Hoodie,2
U758,Navy Blue Hoodie,1
U497,Floral Summer Dress,5
U347,Navy Blue Hoodie,5
U671,Leather Baseball Cap,4
U243,Pink Silk Scarf,4
U43,Black Polo Shirt,4
U78,Leather Baseball Cap,4
U353,Blue Denim Jeans,3
U85,Black Polo Shirt,1
U712,Red Cotton T-Shirt,1
U715,Blue Denim Jeans,4
U703,Black Polo Shirt,1
U39,Black Polo Shirt,4
U93,Blue Denim Jeans,4
U886,Khaki Cargo Shorts,2
U91,Blue Denim Jeans,4
U617,Black Polo Shirt,2
U591,Blue Denim Jeans,5
U465,Red Cotton T-Shirt,3
U478,Red Cotton T-Shirt,1
U348,Floral Summer Dress,5
U924,Grey Wool Sweater,5
U52,Grey Wool Sweater,5
U119,Red Cotton T-Shirt,2
U684,Grey Wool Sweater,4
U264,Floral Summer Dress,4
U219,Floral Summer Dress,4
U105,Floral Summer Dress,5
U4,Leather Baseball Cap,2
U422,Khaki Cargo Shorts,1
U312,White Canvas Sneakers,4
U852,Blue Denim Jeans,2
U582,Striped Casual Shirt,4
